"","year","grouped_wind","n"
"1",2010,0,3530
"2",2010,45,1463
"3",2010,90,806
"4",2010,135,2102
"5",2010,180,5446
"6",2010,225,4192
"7",2010,270,1481
"8",2010,315,5505
"9",2011,0,4989
"10",2011,45,2013
"11",2011,90,1028
"12",2011,135,3450
"13",2011,180,9616
"14",2011,225,5679
"15",2011,270,1998
"16",2011,315,6259
"17",2012,0,7366
"18",2012,45,2334
"19",2012,90,1405
"20",2012,135,3040
"21",2012,180,8517
"22",2012,225,5113
"23",2012,270,1913
"24",2012,315,5444
"25",2013,0,5746
"26",2013,45,2280
"27",2013,90,1355
"28",2013,135,2997
"29",2013,180,8803
"30",2013,225,5418
"31",2013,270,1757
"32",2013,315,6637
"33",2014,0,11769
"34",2014,45,1682
"35",2014,90,1463
"36",2014,135,4755
"37",2014,180,5323
"38",2014,225,2459
"39",2014,270,1635
"40",2014,315,5858
"41",2015,0,4790
"42",2015,45,2031
"43",2015,90,1132
"44",2015,135,5758
"45",2015,180,7964
"46",2015,225,3614
"47",2015,270,2101
"48",2015,315,7645
"49",2016,0,4538
"50",2016,45,2376
"51",2016,90,1399
"52",2016,135,4531
"53",2016,180,7232
"54",2016,225,4006
"55",2016,270,2130
"56",2016,315,8280
"57",2017,0,5074
"58",2017,45,2565
"59",2017,90,1767
"60",2017,135,4128
"61",2017,180,7615
"62",2017,225,5011
"63",2017,270,1962
"64",2017,315,6731
"65",2010,360,3530
"66",2011,360,4989
"67",2012,360,7366
"68",2013,360,5746
"69",2014,360,11769
"70",2015,360,4790
"71",2016,360,4538
"72",2017,360,5074
